iter	Passed	Remaining
0	141	141509
1	143	71682
2	145	48319
3	147	36612
4	148	29589
5	150	24901
6	152	21578
7	154	19147
8	156	17189
9	157	15626
10	159	14339
11	161	13269
12	162	12361
13	164	11590
14	166	10944
15	169	10398
16	170	9867
17	172	9399
18	177	9139
19	178	8769
20	180	8427
21	185	8233
22	186	7937
23	189	7708
24	191	7456
25	192	7220
26	202	7312
27	204	7102
28	207	6931
29	208	6746
30	210	6575
31	211	6412
32	215	6316
33	217	6180
34	222	6124
35	224	6004
36	226	5889
37	228	5774
38	231	5706
39	233	5601
40	235	5504
41	237	5410
42	239	5321
43	240	5234
44	242	5151
45	245	5082
46	246	5002
47	248	4925
48	250	4857
49	252	4796
50	254	4727
51	255	4662
52	257	4599
53	260	4558
54	262	4506
55	264	4452
56	266	4401
57	268	4352
58	270	4306
59	271	4259
60	273	4209
61	276	4187
62	278	4142
63	280	4101
64	282	4056
65	283	4014
66	286	3988
67	288	3947
68	292	3942
69	294	3906
70	295	3871
71	297	3834
72	299	3800
73	300	3766
74	303	3746
75	306	3729
76	308	3696
77	309	3662
78	311	3630
79	313	3599
80	314	3569
81	316	3541
82	317	3504
83	318	3477
84	322	3472
85	324	3446
86	326	3422
87	327	3397
88	329	3374
89	331	3352
90	333	3330
91	335	3309
92	337	3290
93	339	3270
94	341	3249
95	342	3228
96	344	3207
97	346	3188
98	347	3166
99	349	3145
100	352	3138
101	356	3138
102	358	3119
103	359	3098
104	361	3079
105	362	3059
106	364	3041
107	367	3032
108	368	3013
109	370	2998
110	372	2981
111	374	2965
112	375	2950
113	377	2933
114	379	2917
115	382	2917
116	384	2898
117	385	2883
118	387	2868
119	389	2856
120	391	2842
121	392	2824
122	393	2809
123	397	2810
124	399	2796
125	401	2786
126	403	2775
127	405	2762
128	407	2750
129	409	2738
130	412	2735
131	414	2722
132	415	2710
133	417	2698
134	419	2690
135	421	2679
136	424	2675
137	428	2677
138	430	2665
139	431	2651
140	433	2639
141	434	2623
142	436	2613
143	437	2602
144	439	2590
145	440	2579
146	444	2579
147	446	2568
148	448	2559
149	449	2549
150	451	2539
151	453	2532
152	455	2521
153	458	2519
154	459	2507
155	461	2495
156	462	2483
157	463	2471
158	465	2459
159	466	2447
160	466	2433
161	468	2422
162	469	2410
163	470	2400
164	474	2399
165	475	2390
166	478	2388
167	481	2383
168	482	2372
169	483	2362
170	485	2352
171	488	2351
172	489	2342
173	491	2333
174	492	2322
175	493	2312
176	495	2302
177	496	2293
178	497	2283
179	499	2274
180	500	2265
181	503	2262
182	504	2253
183	506	2244
184	507	2236
185	508	2226
186	510	2217
187	511	2209
188	512	2200
189	514	2191
190	515	2183
191	518	2180
192	519	2172
193	521	2166
194	523	2161
195	525	2154
196	526	2148
197	528	2139
198	529	2131
199	531	2126
200	536	2131
201	537	2124
202	539	2117
203	543	2120
204	545	2114
205	546	2107
206	549	2105
207	551	2099
208	553	2093
209	554	2087
210	556	2081
211	558	2075
212	560	2069
213	567	2085
214	569	2079
215	575	2090
216	578	2086
217	580	2083
218	582	2077
219	585	2074
220	586	2068
221	588	2062
222	590	2058
223	592	2052
224	597	2057
225	598	2050
226	600	2045
227	602	2041
228	604	2036
229	606	2028
230	607	2022
231	608	2015
232	612	2015
233	613	2008
234	615	2002
235	617	1998
236	619	1993
237	620	1987
238	621	1980
239	623	1974
240	627	1974
241	628	1969
242	630	1963
243	631	1958
244	633	1952
245	635	1946
246	636	1941
247	638	1935
248	639	1929
249	641	1925
250	643	1920
251	645	1915
252	647	1911
253	648	1905
254	650	1899
255	651	1893
256	652	1887
257	655	1885
258	657	1880
259	659	1875
260	660	1870
261	662	1866
262	663	1860
263	665	1854
264	666	1847
265	667	1841
266	668	1836
267	672	1837
268	674	1832
269	675	1827
270	677	1822
271	679	1818
272	681	1814
273	682	1808
274	683	1803
275	687	1803
276	689	1798
277	691	1794
278	692	1789
279	693	1784
280	695	1779
281	696	1773
282	698	1768
283	699	1763
284	702	1761
285	703	1756
286	704	1750
287	706	1745
288	707	1740
289	709	1736
290	710	1731
291	711	1725
292	713	1720
293	714	1716
294	717	1714
295	719	1710
296	721	1706
297	722	1702
298	723	1697
299	725	1692
300	726	1687
301	728	1682
302	729	1677
303	732	1676
304	733	1671
305	735	1667
306	736	1662
307	737	1657
308	739	1653
309	740	1648
310	741	1643
311	743	1638
312	744	1633
313	746	1631
314	748	1627
315	749	1623
316	751	1618
317	752	1614
318	754	1610
319	755	1605
320	756	1600
321	758	1596
322	759	1592
323	761	1588
324	762	1584
325	764	1579
326	765	1574
327	766	1570
328	768	1566
329	769	1562
330	770	1557
331	771	1553
332	773	1548
333	775	1546
334	776	1542
335	778	1538
336	780	1535
337	781	1531
338	783	1527
339	784	1523
340	786	1519
341	787	1515
342	790	1514
343	791	1510
344	793	1506
345	794	1502
346	796	1498
347	797	1494
348	798	1490
349	800	1486
350	801	1482
351	805	1482
352	806	1478
353	809	1477
354	811	1473
355	814	1473
356	815	1468
357	817	1465
358	818	1460
359	819	1457
360	821	1453
361	822	1450
362	824	1446
363	825	1442
364	827	1439
365	828	1435
366	829	1431
367	831	1427
368	833	1426
369	835	1422
370	836	1418
371	837	1414
372	839	1410
373	840	1407
374	842	1404
375	844	1400
376	845	1396
377	846	1393
378	849	1392
379	851	1388
380	852	1384
381	853	1381
382	854	1377
383	856	1373
384	857	1369
385	859	1366
386	860	1363
387	861	1359
388	864	1357
389	865	1354
390	867	1350
391	868	1346
392	869	1343
393	871	1340
394	872	1336
395	874	1333
396	875	1329
397	876	1326
398	879	1325
399	881	1322
400	883	1319
401	884	1316
402	886	1313
403	887	1309
404	889	1306
405	890	1302
406	891	1299
407	894	1297
408	895	1294
409	897	1291
410	898	1287
411	900	1284
412	901	1281
413	903	1278
414	905	1276
415	906	1273
416	909	1271
417	911	1269
418	913	1266
419	915	1263
420	916	1260
421	918	1257
422	920	1255
423	921	1252
424	924	1251
425	926	1248
426	932	1250
427	933	1248
428	935	1245
429	937	1242
430	940	1241
431	941	1238
432	943	1236
433	945	1233
434	947	1230
435	949	1227
436	950	1225
437	952	1222
438	955	1221
439	957	1218
440	959	1216
441	961	1213
442	963	1211
443	965	1208
444	966	1205
445	968	1203
446	981	1213
447	983	1211
448	984	1208
449	987	1206
450	988	1203
451	990	1200
452	992	1197
453	993	1194
454	995	1192
455	997	1189
456	998	1186
457	1000	1183
458	1002	1181
459	1003	1178
460	1005	1175
461	1007	1172
462	1008	1170
463	1010	1167
464	1012	1164
465	1013	1161
466	1017	1160
467	1018	1157
468	1020	1155
469	1022	1152
470	1024	1150
471	1025	1147
472	1027	1145
473	1029	1142
474	1031	1139
475	1032	1137
476	1043	1143
477	1044	1140
478	1062	1155
479	1064	1153
480	1066	1150
481	1069	1148
482	1070	1146
483	1072	1143
484	1074	1140
485	1106	1169
486	1108	1167
487	1110	1165
488	1112	1162
489	1114	1160
490	1117	1158
491	1119	1155
492	1121	1153
493	1123	1150
494	1124	1147
495	1126	1144
496	1128	1142
497	1133	1142
498	1134	1139
499	1136	1136
500	1137	1133
501	1139	1130
502	1141	1127
503	1143	1125
504	1145	1122
505	1150	1122
506	1151	1119
507	1153	1116
508	1154	1113
509	1156	1111
510	1157	1107
511	1159	1105
512	1161	1102
513	1163	1100
514	1172	1103
515	1174	1101
516	1175	1098
517	1179	1097
518	1181	1094
519	1182	1091
520	1183	1088
521	1185	1085
522	1186	1081
523	1187	1078
524	1188	1075
525	1190	1072
526	1191	1069
527	1194	1067
528	1195	1064
529	1197	1061
530	1198	1058
531	1200	1056
532	1202	1053
533	1204	1050
534	1205	1047
535	1206	1044
536	1209	1042
537	1210	1039
538	1212	1037
539	1214	1034
540	1216	1031
541	1217	1028
542	1218	1025
543	1220	1023
544	1223	1021
545	1224	1018
546	1225	1015
547	1227	1012
548	1228	1009
549	1230	1006
550	1231	1003
551	1232	1000
552	1234	997
553	1235	994
554	1236	991
555	1240	990
556	1241	987
557	1242	984
558	1243	981
559	1245	978
560	1246	975
561	1248	972
562	1249	969
563	1250	966
564	1251	963
565	1255	962
566	1256	959
567	1258	957
568	1260	954
569	1261	951
570	1263	949
571	1264	946
572	1266	943
573	1267	940
574	1269	938
575	1270	935
576	1272	932
577	1273	929
578	1274	926
579	1276	924
580	1277	921
581	1279	918
582	1280	915
583	1281	913
584	1284	911
585	1285	908
586	1286	905
587	1288	902
588	1289	899
589	1290	896
590	1293	895
591	1294	892
592	1296	889
593	1298	887
594	1300	884
595	1301	882
596	1302	879
597	1304	876
598	1305	873
599	1307	871
600	1308	868
601	1309	865
602	1311	863
603	1312	860
604	1314	858
605	1315	855
606	1317	852
607	1318	850
608	1319	847
609	1321	844
610	1322	841
611	1323	839
612	1324	836
613	1326	833
614	1328	831
615	1330	829
616	1331	826
617	1332	823
618	1334	821
619	1335	818
620	1337	816
621	1340	814
622	1341	811
623	1344	810
624	1346	808
625	1348	805
626	1349	803
627	1351	800
628	1353	798
629	1354	795
630	1355	792
631	1357	790
632	1359	788
633	1360	785
634	1362	782
635	1363	780
636	1364	777
637	1366	775
638	1367	772
639	1368	769
640	1369	767
641	1371	764
642	1373	762
643	1375	760
644	1376	757
645	1378	755
646	1379	752
647	1381	750
648	1382	747
649	1383	745
650	1385	742
651	1386	739
652	1387	737
653	1389	735
654	1391	732
655	1392	730
656	1394	727
657	1396	725
658	1397	723
659	1399	720
660	1400	718
661	1401	715
662	1403	713
663	1404	710
664	1405	708
665	1407	705
666	1408	703
667	1410	700
668	1411	698
669	1412	695
670	1413	693
671	1415	690
672	1417	688
673	1419	686
674	1420	684
675	1421	681
676	1423	679
677	1424	676
678	1426	674
679	1427	671
680	1428	669
681	1429	666
682	1432	664
683	1434	662
684	1435	660
685	1436	657
686	1438	655
687	1440	653
688	1441	650
689	1442	648
690	1443	645
691	1445	643
692	1448	641
693	1450	639
694	1451	637
695	1454	635
696	1455	632
697	1457	630
698	1458	628
699	1460	625
700	1462	623
701	1463	621
702	1465	618
703	1466	616
704	1467	614
705	1469	611
706	1471	609
707	1472	607
708	1474	605
709	1477	603
710	1479	601
711	1481	599
712	1483	597
713	1484	594
714	1485	592
715	1487	589
716	1488	587
717	1489	585
718	1491	583
719	1493	580
720	1494	578
721	1496	576
722	1498	573
723	1499	571
724	1501	569
725	1503	567
726	1504	565
727	1508	563
728	1509	561
729	1511	559
730	1513	556
731	1514	554
732	1516	552
733	1517	550
734	1519	547
735	1522	546
736	1524	544
737	1526	541
738	1527	539
739	1529	537
740	1530	535
741	1532	532
742	1534	530
743	1535	528
744	1539	526
745	1541	524
746	1542	522
747	1544	520
748	1546	518
749	1547	515
750	1548	513
751	1552	512
752	1554	509
753	1555	507
754	1557	505
755	1558	503
756	1560	500
757	1562	498
758	1563	496
759	1565	494
760	1567	492
761	1569	490
762	1570	487
763	1572	485
764	1573	483
765	1575	481
766	1577	479
767	1578	476
768	1580	474
769	1581	472
770	1583	470
771	1584	467
772	1585	465
773	1587	463
774	1589	461
775	1590	459
776	1592	456
777	1593	454
778	1594	452
779	1598	450
780	1599	448
781	1600	446
782	1602	444
783	1603	441
784	1604	439
785	1606	437
786	1607	435
787	1609	432
788	1611	431
789	1613	428
790	1614	426
791	1616	424
792	1617	422
793	1619	420
794	1620	417
795	1622	415
796	1624	413
797	1625	411
798	1628	409
799	1630	407
800	1632	405
801	1634	403
802	1635	401
803	1637	399
804	1638	396
805	1640	394
806	1643	392
807	1644	390
808	1647	389
809	1649	386
810	1651	384
811	1652	382
812	1654	380
813	1655	378
814	1658	376
815	1659	374
816	1661	372
817	1663	370
818	1665	367
819	1666	365
820	1668	363
821	1671	361
822	1673	359
823	1675	357
824	1677	355
825	1679	353
826	1680	351
827	1682	349
828	1683	347
829	1684	345
830	1686	342
831	1688	340
832	1689	338
833	1691	336
834	1692	334
835	1694	332
836	1695	330
837	1696	328
838	1698	325
839	1699	323
840	1703	322
841	1704	319
842	1706	317
843	1708	315
844	1709	313
845	1711	311
846	1712	309
847	1714	307
848	1717	305
849	1719	303
850	1721	301
851	1722	299
852	1725	297
853	1726	295
854	1727	293
855	1729	290
856	1730	288
857	1732	286
858	1734	284
859	1735	282
860	1737	280
861	1739	278
862	1740	276
863	1742	274
864	1744	272
865	1747	270
866	1748	268
867	1750	266
868	1751	264
869	1753	261
870	1754	259
871	1756	257
872	1758	255
873	1759	253
874	1762	251
875	1763	249
876	1765	247
877	1767	245
878	1769	243
879	1770	241
880	1772	239
881	1773	237
882	1780	235
883	1782	233
884	1784	231
885	1786	229
886	1788	227
887	1789	225
888	1792	223
889	1794	221
890	1796	219
891	1797	217
892	1799	215
893	1800	213
894	1802	211
895	1803	209
896	1805	207
897	1808	205
898	1809	203
899	1811	201
900	1812	199
901	1814	197
902	1815	195
903	1817	193
904	1819	190
905	1820	188
906	1822	186
907	1824	184
908	1827	182
909	1829	180
910	1831	178
911	1832	176
912	1834	174
913	1836	172
914	1838	170
915	1839	168
916	1841	166
917	1842	164
918	1844	162
919	1845	160
920	1847	158
921	1848	156
922	1851	154
923	1852	152
924	1853	150
925	1855	148
926	1857	146
927	1858	144
928	1860	142
929	1861	140
930	1862	138
931	1864	136
932	1866	134
933	1868	132
934	1869	129
935	1870	127
936	1872	125
937	1874	123
938	1875	121
939	1877	119
940	1878	117
941	1880	115
942	1881	113
943	1883	111
944	1884	109
945	1886	107
946	1888	105
947	1890	103
948	1892	101
949	1894	99
950	1897	97
951	1898	95
952	1900	93
953	1901	91
954	1905	89
955	1906	87
956	1907	85
957	1909	83
958	1913	81
959	1915	79
960	1928	78
961	1933	76
962	1934	74
963	1936	72
964	1937	70
965	1939	68
966	1941	66
967	1944	64
968	1946	62
969	1948	60
970	1949	58
971	1951	56
972	1953	54
973	1954	52
974	1956	50
975	1987	48
976	1989	46
977	1992	44
978	1993	42
979	1995	40
980	1996	38
981	1998	36
982	2000	34
983	2001	32
984	2003	30
985	2005	28
986	2008	26
987	2009	24
988	2011	22
989	2012	20
990	2014	18
991	2015	16
992	2017	14
993	2018	12
994	2020	10
995	2022	8
996	2023	6
997	2025	4
998	2027	2
999	2028	0
